"Location","Equipment","Name","Type","I/O Type","Min/Max","Locked","GQL Path"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Zone Temp 1","BRS","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/lstat"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Zone Temp 1 / Zone Temp","BAI","1","(45/96)","" ,"/#etc_fcu_-_sample_equipment/lstat/zone_temp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Zone Temp 1 / Override Time Remaining","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/lstat/override_time_remaining"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CHW Coil DP","BAI","0-20 mA","(4/20)","" ,"/#etc_fcu_-_sample_equipment/chw_coil_dp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CHWR Temp","BAI","Thermistor","(0.00/120.00)","" ,"/#etc_fcu_-_sample_equipment/chwr_temp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CHWS Temp","BAI","Thermistor","(0.00/120.00)","" ,"/#etc_fcu_-_sample_equipment/chws_temp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CHW VLV FDBK","BAI","0-10 Volt","(0/100)","" ,"/#etc_fcu_-_sample_equipment/chw_vlv_fdbk"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Duct Static Pressure","BAI","0-20 mA","(0.00/1)","" ,"/#etc_fcu_-_sample_equipment/static"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","HW Coil DP","BAI","0-20 mA","(4/20)","" ,"/#etc_fcu_-_sample_equipment/hw_coil_dp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","HWR Temp","BAI","Thermistor","(0.00/120.00)","" ,"/#etc_fcu_-_sample_equipment/hwr_temp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","HWS Temp","BAI","Thermistor","(0.00/120.00)","" ,"/#etc_fcu_-_sample_equipment/hws_temp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","HW VLV FDBK","BAI","0-10 Volt","(0/100)","" ,"/#etc_fcu_-_sample_equipment/hw_vlv_fdbk"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","MAT Averging Sensor","BAI","Thermistor","(0.00/120.00)","" ,"/#etc_fcu_-_sample_equipment/mat_avg_sensor"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","MAT Pnt Sensor","BAI","Thermistor","(0.00/120.00)","" ,"/#etc_fcu_-_sample_equipment/mat_pnt_sensor"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Prefilter DP","BAI","0-20 mA","(0.00/5.00)","" ,"/#etc_fcu_-_sample_equipment/pfilter_dp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Air Temp 1","BAI","Thermistor","(0.00/120.00)","" ,"/#etc_fcu_-_sample_equipment/ra_temp_1"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Air Temp 2","BAI","Thermistor","(0.00/120.00)","" ,"/#etc_fcu_-_sample_equipment/ra_temp_2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Dmpr 1 Fdbk","BAI","0-10 Volt","(0/100)","" ,"/#etc_fcu_-_sample_equipment/ret_dmpr_1_fdbk"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Dmpr 2 Fdbk","BAI","0-10 Volt","(0/100)","" ,"/#etc_fcu_-_sample_equipment/ret_dmpr_2_fdbk"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Room CO2","BAI","0-20 mA","(0.00/2000)","" ,"/#etc_fcu_-_sample_equipment/ra_co2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Sup Dmpr 1 Fdbk","BAI","0-10 Volt","(0/100)","" ,"/#etc_fcu_-_sample_equipment/sup_dmpr_1_fdbk"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Sup Dmpr 2 Fdbk","BAI","0-10 Volt","(0/100)","" ,"/#etc_fcu_-_sample_equipment/sup_dmpr_2_fdbk"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Supply Air Temp","BAI","Thermistor","(0.00/120.00)","" ,"/#etc_fcu_-_sample_equipment/sa_temp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Zone Temp 2","BAI","Thermistor","(0.00/120.00)","" ,"/#etc_fcu_-_sample_equipment/zone_temp_2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Cooling Valve","BAO","Electrical 0-10 Volt","(0.00/100.00)","" ,"/#etc_fcu_-_sample_equipment/chw_valve"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Heating Valve","BAO","Electrical 0-10 Volt","(0.00/100.00)","" ,"/#etc_fcu_-_sample_equipment/hw_valve"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Damper 1","BAO","Electrical 0-10 Volt","(0.00/100.00)","" ,"/#etc_fcu_-_sample_equipment/rd1"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ret Damper 2","BAO","Electrical 0-10 Volt","(0.00/100.00)","" ,"/#etc_fcu_-_sample_equipment/rd2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","SF VFD Speed","BAO","Electrical 0-10 Volt","(0.00/100.00)","" ,"/#etc_fcu_-_sample_equipment/sf_vfd_output"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Sup Damper 1","BAO","Electrical 0-10 Volt","(0.00/100.00)","" ,"/#etc_fcu_-_sample_equipment/sd1"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Sup Damper 2","BAO","Electrical 0-10 Volt","(0.00/100.00)","" ,"/#etc_fcu_-_sample_equipment/sd2"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Sup Fan S/S","BBO","Relay / Triac Output","" ,"" ,"/#etc_fcu_-_sample_equipment/sfan"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Active Zone","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/active_zones"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CLG SAT STP","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/clg_sat_stp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Cooling Run Request","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/cl_run_for"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Cooling Setpoint","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/clgstpt"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Cool Request","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/cool_request"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Economizer","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/econ"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Economizer Setpoint","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/ec_setpt"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","EI Weighting","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/ei_weight"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Environmental Index Count","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/item_count"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Heating Run Request","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/ht_run_for"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Heating Setpoint","BAV","" ,"" ,"" ,"/#etc_fcu_-_sample_equipment/htgstpt"
