"Location","Equipment","Point","Trend Log/Enabled","Trend Log/Sample Interval","Trend Log/COV Increment","Trend Log/Max Number of Samples","Historian/Enabled","GQL Path"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Ave Zone Temp","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/avg_zn_tmp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","AVG RAT","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/avg_rat"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CLG SAT STP","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/clg_sat_stp_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Clg Stpt","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/cl_stpt_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CO2 Level","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/co2_level_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Duct Press Setpoint","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/dp_stp_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Econ Stpt","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/econ_stpt_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Eff RAT","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/eff_rat"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Environmental Index","x"," "," ","288","x","/#etc_fcu_-_sample_equipment/zn_enviro_indx_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Hi Zone Temp","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/hi_zn_tmp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","HTG SAT STP","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/htg_sat_stp_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Htg Stpt","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/ht_stpt_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Lowest Zone Temp","x","00:05:00"," ","288"," ","/#etc_fcu_-_sample_equipment/lo_zn_tmp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Override","x"," ","1","100"," ","/#etc_fcu_-_sample_equipment/override_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","SP Adjust","x"," ","1","100"," ","/#etc_fcu_-_sample_equipment/stpt_adj_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Total Weight","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/total_weight_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Zone EI Time Satisfied","x"," "," ","288","x","/#etc_fcu_-_sample_equipment/zn_ei_time_sat_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Zone Weighted EI","x"," "," ","288","x","/#etc_fcu_-_sample_equipment/enviro_windx_tn"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","Zone Temp 1 / Zone Temp","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/lstat/zone_temp"
"/ucb_etcheverry_hall/UCB Etcheverry Hall/2nd Floor","FCU - RM 2169","CHW Coil DP","x","00:05:00"," ","288","x","/#etc_fcu_-_sample_equipment/chw_coil_dp"
